Nama,Alamat,Kontak,Usaha,KBLI,Sektor,Kreatif,Visibilitas,Produksi,Distribusi,Produk Final,Maps,Lat,Long
ue studiorent,Jl. Antasari No.48,0859-6145-4713,Studio Fotografi,74201,,Kreatif,Tidak,Digital,Digital,Digital,https://www.google.com/maps/place/ue+studiorent/data=!4m7!3m6!1s0x2dd211f34c55483f:0x86409cd65ac011ed!8m2!3d-8.5270994!4d115.4015198!16s%2Fg%2F11qgktg7xz!19sChIJP0hVTPMR0i0R7RHAWtacQIY?authuser=0&hl=id&rclk=1,-8.5270994,115.4015198
Jumpa Studio,Jl. Gn. Merapi,0819-1631-4288,Studio Foto,74201,,Kreatif,Tidak,Digital,Digital,Digital,https://www.google.com/maps/place/Jumpa+Studio/data=!4m7!3m6!1s0x2dd2118334ca98b7:0x8004f08cf0acb3ed!8m2!3d-8.5299206!4d115.4064118!16s%2Fg%2F11sc_zt_dl!19sChIJt5jKNIMR0i0R7bOs8IzwBIA?authuser=0&hl=id&rclk=1,-8.5299206,115.4064118
Cloud Photo Studio,Jl. Kecubung,0857-3845-3674,Studio Fotografi,74201,,Kreatif,Tidak,Digital,Digital,Digital,https://www.google.com/maps/place/Cloud+Photo+Studio/data=!4m7!3m6!1s0x2dd211001e4c4bdf:0xda753aa651394711!8m2!3d-8.5413322!4d115.3958973!16s%2Fg%2F11vqpz0dv8!19sChIJ30tMHgAR0i0REUc5UaY6ddo?authuser=0&hl=id&rclk=1,-8.5413322,115.3958973
Gede Photo,F938+6FH,0813-3716-3158,Studio Fotografi,74201,,Kreatif,Tidak,Digital,Digital,Digital,https://www.google.com/maps/place/Gede+Photo/data=!4m7!3m6!1s0x2dd217c438768233:0x954f9e0b6c273195!8m2!3d-8.546929!4d115.3662471!16s%2Fg%2F11h3kv2543!19sChIJM4J2OMQX0i0RlTEnbAueT5U?authuser=0&hl=id&rclk=1,-8.546929,115.3662471
pictproject foto studio,"FC32+4J4, Jl. Kenyeri XIII",0818-0550-9672,Studio Fotografi,74201,,Kreatif,Tidak,Digital,Digital,Digital,https://www.google.com/maps/place/pictproject+foto+studio/data=!4m7!3m6!1s0x2dd211dbb7f7a623:0x227e3e40c2295abd!8m2!3d-8.5472262!4d115.4015849!16s%2Fg%2F11s1qm215n!19sChIJI6b3t9sR0i0RvVopwkA-fiI?authuser=0&hl=id&rclk=1,-8.5472262,115.4015849
Foto Studio Sinar Mutiara,Jl. Diponegoro No.45,,Studio Foto,74201,,Kreatif,Tidak,Hybrid,Hybrid,Hybrid,https://www.google.com/maps/place/Foto+Studio+Sinar+Mutiara/data=!4m7!3m6!1s0x2dd2116b4cbbee59:0x54eb9b9930d32d82!8m2!3d-8.5354742!4d115.4050647!16s%2Fg%2F1pzrsjwsn!19sChIJWe67TGsR0i0Rgi3TMJmb61Q?authuser=0&hl=id&rclk=1,-8.5354742,115.4050647
Bagus Creative,Jl. Raya Batu Tabih No.30,0859-6411-6454,Studio Foto,74201,,Kreatif,Tidak,Digital,Digital,Digital,https://www.google.com/maps/place/Bagus+Creative/data=!4m7!3m6!1s0x2dd21112169a6109:0x55c8542e93b5d217!8m2!3d-8.5495723!4d115.3928734!16s%2Fg%2F11hhh_f0kv!19sChIJCWGaFhIR0i0RF9K1ky5UyFU?authuser=0&hl=id&rclk=1,-8.5495723,115.3928734
Kasmaran Photography,Jl. Cempaka No.3,,Jasa fotografi,74201,,Kreatif,Tidak,Digital,Digital,Digital,https://www.google.com/maps/place/Kasmaran+Photography/data=!4m7!3m6!1s0x2dd2116233937573:0x3e0d49c575598ae2!8m2!3d-8.5364179!4d115.4010597!16s%2Fg%2F11m_cp10l1!19sChIJc3WTM2IR0i0R4opZdcVJDT4?authuser=0&hl=id&rclk=1,-8.5364179,115.4010597
Acip photo,Dusun Jl. Sema Agung,0877-0133-8588,Fotografer komersial,74201,,Kreatif,Tidak,Digital,Digital,Digital,https://www.google.com/maps/place/Acip+photo/data=!4m7!3m6!1s0x2dd2179c1b7ee149:0xc34df9d353ffb594!8m2!3d-8.5483164!4d115.3781947!16s%2Fg%2F11s3bghtz5!19sChIJSeF-G5wX0i0RlLX_U9P5TcM?authuser=0&hl=id&rclk=1,-8.5483164,115.3781947
Nusa Penida Photographer,Jl. Bias Muntig,0857-7955-5000,Fotografer,74201,,Kreatif,Tidak,Digital,Digital,Digital,https://www.google.com/maps/place/Nusa+Penida+Photographer/data=!4m7!3m6!1s0x2dd2734f63db4fc7:0x98b04dafb4e1a7e7!8m2!3d-8.676196!4d115.4891599!16s%2Fg%2F11t834bpy7!19sChIJx0_bY09z0i0R56fhtK9NsJg?authuser=0&hl=id&rclk=1,-8.676196,115.4891599
